Category,Name,URL,Description,Cost,Details
Sources > Email Addresses,MailCat,https://github.com/sharsil/mailcat,Open source tool hosted on GitHub,Tool/App,
Sources > IP Addresses > Geolocation,KodIT,https://kodit.pl/geolokalizacja,Polish language resource,,
Sources > IP Addresses > Geolocation,LokalizacjaIP,https://lokalizacjaip.pl/,Polish language resource,,
Sources > Domains > Lists / Registers,Lista Domen Usuniętych - dns.pl,https://www.dns.pl/lista_domen_usunietych,Polish language resource,,
Sources > Domains > Lists / Registers,Lista Ostrzeżeń przed niebezpiecznymi stronami,https://cert.pl/lista-ostrzezen/,Polish language resource,,
Sources > Domains > Lists / Registers,Rejestr Domen Służących do Oferowania Gier Hazardowych Niezgodnie z Ustawą,https://hazard.mf.gov.pl/,Government official resource,,
Sources > Domains > Lists / Registers,Rejestr Domen Zakazanych,https://www.rejestrdomenzakazanych.pl/,Polish language resource,,
Sources > Domains > Shorteners,Tiny.pl,https://tiny.pl/<identyfikator>!,Polish language resource,Manual/Template,
Sources > Domains > Shorteners,utn.pl,https://utn.pl/<identyfikator>+,Polish language resource,Manual/Template,
Sources > Domains > WHOIS,Krajowy Rejestr Domen - dns.pl,https://www.dns.pl/whois,Polish language resource,,
Sources > Domains,Cyber URL Scanner,https://cyscan.io/,Web-based resource from cyscan.io,,
Sources > Domains,Sarenka,https://github.com/pawlaczyk/sarenka,Open source tool hosted on GitHub,Tool/App,
Sources > Maps / Geolocation Tools > Historical,Mapster,http://igrek.amzp.pl/,Polish language resource,,
Sources > Maps / Geolocation Tools > Historical,Archiwum Map Zachodniej Polski,http://mapy.amzp.pl/,Polish language resource,,
Sources > Maps / Geolocation Tools > Historical,Atlas Fontium - Mapy z przeszłością,https://atlas.ihpan.edu.pl/pastmaps/,Educational institution resource,,
Sources > Maps / Geolocation Tools > Historical,Archiwum Map Wojskowego Instytutu Geograficznego,http://polski.mapywig.org/,Web-based resource from polski.mapywig.org,,
Sources > Maps / Geolocation Tools > Historical,Baza Miejscowości Kresowych,https://www.kami.net.pl/kresy/,Polish language resource,,
Sources > Maps / Geolocation Tools > Historical,retromapy.pl,https://retromapy.pl/,Polish language resource,,
Sources > Maps / Geolocation Tools > Historical,Fortyfikacje XX wieku na terenie Polski,http://www.fortyfikacja.pl/?a=mapa,Polish language resource,,
Sources > Maps / Geolocation Tools > Historical,Fortyfikacje w Polsce,http://www.fortress.hg.pl/pliki_htm/baza_mapa.htm,Polish language resource,,
Sources > Maps / Geolocation Tools > Historical,Mapa Zabytków,https://mapy.zabytek.gov.pl/nid/,Government official resource,,
Sources > Maps / Geolocation Tools > Aerial,Lotniska i lądowiska (dlapilota.pl),https://lotniska.dlapilota.pl/,Polish language resource,,
Sources > Maps / Geolocation Tools > Aerial,Mapa miejsc gminnych i lądowisk przyszpitalnych,https://www.lpr.com.pl/pl/mapa-miejsc-gminnych-oraz-ladowisk-przyszpitalnych/,Polish language resource,,
Sources > Maps / Geolocation Tools > Aerial,Pansa - mapa polskiej przestrzeni powietrznej AIP,https://airspace.pansa.pl/,Polish language resource,,
